root1	root2	image1	root1	root2	image2	positive
MeGlass_mtcnnpyp_160_32	meglass_120	10032527@N08_identity_4@2589966003_0	MeGlass_mtcnnpyp_160_32	meglass_120	10032527@N08_identity_4@2582191559_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10032527@N08_identity_4@2650725739_0	MeGlass_mtcnnpyp_160_32	meglass_120	10032527@N08_identity_4@2582182573_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10069023@N00_identity_14@5904922249_1	MeGlass_mtcnnpyp_160_32	meglass_120	10069023@N00_identity_14@5008488666_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	10069023@N00_identity_14@6638226701_0	MeGlass_mtcnnpyp_160_32	meglass_120	10069023@N00_identity_14@5008488074_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	10076491@N00_identity_11@4774502311_1	MeGlass_mtcnnpyp_160_32	meglass_120	10076491@N00_identity_11@4775571663_8	1
MeGlass_mtcnnpyp_160_32	meglass_120	10076491@N00_identity_11@4774504727_1	MeGlass_mtcnnpyp_160_32	meglass_120	10076491@N00_identity_11@2274404922_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10081417@N00_identity_0@12369795113_0	MeGlass_mtcnnpyp_160_32	meglass_120	10081417@N00_identity_0@1471739230_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10081417@N00_identity_0@320895612_0	MeGlass_mtcnnpyp_160_32	meglass_120	10081417@N00_identity_0@1245576889_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10147749@N04_identity_5@3972222883_1	MeGlass_mtcnnpyp_160_32	meglass_120	10147749@N04_identity_5@8032913218_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10147749@N04_identity_5@8031924161_0	MeGlass_mtcnnpyp_160_32	meglass_120	10147749@N04_identity_5@8031227781_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	101506130@N03_identity_0@10902564096_0	MeGlass_mtcnnpyp_160_32	meglass_120	101506130@N03_identity_0@12301057415_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	101506130@N03_identity_0@12005430854_2	MeGlass_mtcnnpyp_160_32	meglass_120	101506130@N03_identity_0@11643749905_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	10157840@N03_identity_0@3547407856_1	MeGlass_mtcnnpyp_160_32	meglass_120	10157840@N03_identity_0@2640253550_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10157840@N03_identity_0@4568325730_1	MeGlass_mtcnnpyp_160_32	meglass_120	10157840@N03_identity_0@2613954925_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10175970@N00_identity_38@4744220617_6	MeGlass_mtcnnpyp_160_32	meglass_120	10175970@N00_identity_38@334572069_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10175970@N00_identity_38@4744282395_2	MeGlass_mtcnnpyp_160_32	meglass_120	10175970@N00_identity_38@239770954_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	10182831@N00_identity_12@7750948542_1	MeGlass_mtcnnpyp_160_32	meglass_120	10182831@N00_identity_12@9944812626_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	10182831@N00_identity_12@9943629224_2	MeGlass_mtcnnpyp_160_32	meglass_120	10182831@N00_identity_12@9944807385_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10289904@N00_identity_7@12909767504_0	MeGlass_mtcnnpyp_160_32	meglass_120	10289904@N00_identity_7@6834642972_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10289904@N00_identity_7@8346604416_2	MeGlass_mtcnnpyp_160_32	meglass_120	10289904@N00_identity_7@6834630982_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10289904@N00_identity_9@6539542557_1	MeGlass_mtcnnpyp_160_32	meglass_120	10289904@N00_identity_9@6834645480_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10289904@N00_identity_9@7354387350_1	MeGlass_mtcnnpyp_160_32	meglass_120	10289904@N00_identity_9@6833384618_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	102962858@N03_identity_2@11326650075_3	MeGlass_mtcnnpyp_160_32	meglass_120	102962858@N03_identity_2@11322025154_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	102962858@N03_identity_2@11326706965_0	MeGlass_mtcnnpyp_160_32	meglass_120	102962858@N03_identity_2@11321875094_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10310250@N02_identity_26@1511737423_2	MeGlass_mtcnnpyp_160_32	meglass_120	10310250@N02_identity_26@12527718385_2	1
MeGlass_mtcnnpyp_160_32	meglass_120	10310250@N02_identity_26@1543671321_1	MeGlass_mtcnnpyp_160_32	meglass_120	10310250@N02_identity_26@11478012765_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	10334169@N07_identity_0@5613984663_0	MeGlass_mtcnnpyp_160_32	meglass_120	10334169@N07_identity_0@5979855757_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10334169@N07_identity_0@5749173335_0	MeGlass_mtcnnpyp_160_32	meglass_120	10334169@N07_identity_0@5557667672_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10359468@N08_identity_2@3137508775_0	MeGlass_mtcnnpyp_160_32	meglass_120	10359468@N08_identity_2@2607438717_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10359468@N08_identity_2@3437773727_1	MeGlass_mtcnnpyp_160_32	meglass_120	10359468@N08_identity_2@2598859430_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	10418862@N03_identity_0@1279072703_0	MeGlass_mtcnnpyp_160_32	meglass_120	10418862@N03_identity_0@1279936932_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10418862@N03_identity_0@1279082071_0	MeGlass_mtcnnpyp_160_32	meglass_120	10418862@N03_identity_0@1279067287_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10534365@N05_identity_1@1358048464_2	MeGlass_mtcnnpyp_160_32	meglass_120	10534365@N05_identity_1@2156178385_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10534365@N05_identity_1@2223240684_0	MeGlass_mtcnnpyp_160_32	meglass_120	10534365@N05_identity_1@2155768453_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	105391338@N08_identity_0@10323541313_1	MeGlass_mtcnnpyp_160_32	meglass_120	105391338@N08_identity_0@10358872526_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	105391338@N08_identity_0@12682504285_0	MeGlass_mtcnnpyp_160_32	meglass_120	105391338@N08_identity_0@10328895836_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10546356@N00_identity_1@3112700297_1	MeGlass_mtcnnpyp_160_32	meglass_120	10546356@N00_identity_1@3113478900_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10546356@N00_identity_1@3112701457_1	MeGlass_mtcnnpyp_160_32	meglass_120	10546356@N00_identity_1@2998802186_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	105546346@N08_identity_2@10686803215_0	MeGlass_mtcnnpyp_160_32	meglass_120	105546346@N08_identity_2@11118308106_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	105546346@N08_identity_2@11118308225_0	MeGlass_mtcnnpyp_160_32	meglass_120	105546346@N08_identity_2@10687069053_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10563005@N06_identity_2@2712564080_0	MeGlass_mtcnnpyp_160_32	meglass_120	10563005@N06_identity_2@5009210300_2	1
MeGlass_mtcnnpyp_160_32	meglass_120	10563005@N06_identity_2@2841955696_0	MeGlass_mtcnnpyp_160_32	meglass_120	10563005@N06_identity_2@1178265730_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	105700383@N05_identity_7@11173372985_21	MeGlass_mtcnnpyp_160_32	meglass_120	105700383@N05_identity_7@11222024215_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	105700383@N05_identity_7@11222043034_1	MeGlass_mtcnnpyp_160_32	meglass_120	105700383@N05_identity_7@11173372985_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10577838@N07_identity_0@5289046569_0	MeGlass_mtcnnpyp_160_32	meglass_120	10577838@N07_identity_0@5356716992_2	1
MeGlass_mtcnnpyp_160_32	meglass_120	10577838@N07_identity_0@5306488508_0	MeGlass_mtcnnpyp_160_32	meglass_120	10577838@N07_identity_0@5312893034_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10582933@N04_identity_4@5900217067_0	MeGlass_mtcnnpyp_160_32	meglass_120	10582933@N04_identity_4@5900774520_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10582933@N04_identity_4@5900792424_0	MeGlass_mtcnnpyp_160_32	meglass_120	10582933@N04_identity_4@5900235729_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	106346045@N04_identity_11@12829959213_23	MeGlass_mtcnnpyp_160_32	meglass_120	106346045@N04_identity_11@11583446805_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	106346045@N04_identity_11@12829977983_10	MeGlass_mtcnnpyp_160_32	meglass_120	106346045@N04_identity_11@11401132813_19	1
MeGlass_mtcnnpyp_160_32	meglass_120	10673876@N00_identity_5@219303443_0	MeGlass_mtcnnpyp_160_32	meglass_120	10673876@N00_identity_5@5634808825_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	10673876@N00_identity_5@219321612_0	MeGlass_mtcnnpyp_160_32	meglass_120	10673876@N00_identity_5@5631331609_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	106904754@N04_identity_5@10536866736_1	MeGlass_mtcnnpyp_160_32	meglass_120	106904754@N04_identity_5@10536449315_2	1
MeGlass_mtcnnpyp_160_32	meglass_120	106904754@N04_identity_5@10536942674_0	MeGlass_mtcnnpyp_160_32	meglass_120	106904754@N04_identity_5@10536442845_2	1
MeGlass_mtcnnpyp_160_32	meglass_120	10700761@N08_identity_1@3030113038_1	MeGlass_mtcnnpyp_160_32	meglass_120	10700761@N08_identity_1@13334235584_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10700761@N08_identity_1@3570345726_0	MeGlass_mtcnnpyp_160_32	meglass_120	10700761@N08_identity_1@11539159145_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10700761@N08_identity_4@3580349927_2	MeGlass_mtcnnpyp_160_32	meglass_120	10700761@N08_identity_4@2667051104_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10700761@N08_identity_4@3580350549_1	MeGlass_mtcnnpyp_160_32	meglass_120	10700761@N08_identity_4@2666192109_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	10775233@N00_identity_0@3136084347_0	MeGlass_mtcnnpyp_160_32	meglass_120	10775233@N00_identity_0@4030154148_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10775233@N00_identity_0@3136905118_0	MeGlass_mtcnnpyp_160_32	meglass_120	10775233@N00_identity_0@3819104806_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10795251@N08_identity_1@3287345865_1	MeGlass_mtcnnpyp_160_32	meglass_120	10795251@N08_identity_1@2258382090_2	1
MeGlass_mtcnnpyp_160_32	meglass_120	10795251@N08_identity_1@3287346243_1	MeGlass_mtcnnpyp_160_32	meglass_120	10795251@N08_identity_1@2257781133_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	108207546@N07_identity_3@11548270575_1	MeGlass_mtcnnpyp_160_32	meglass_120	108207546@N07_identity_3@10769815463_4	1
MeGlass_mtcnnpyp_160_32	meglass_120	108207546@N07_identity_3@11548433733_0	MeGlass_mtcnnpyp_160_32	meglass_120	108207546@N07_identity_3@10769617136_4	1
MeGlass_mtcnnpyp_160_32	meglass_120	10829717@N07_identity_12@8264958025_6	MeGlass_mtcnnpyp_160_32	meglass_120	10829717@N07_identity_12@8264964927_6	1
MeGlass_mtcnnpyp_160_32	meglass_120	10829717@N07_identity_12@8264958393_8	MeGlass_mtcnnpyp_160_32	meglass_120	10829717@N07_identity_12@8264964545_5	1
MeGlass_mtcnnpyp_160_32	meglass_120	10908506@N03_identity_10@9396371385_1	MeGlass_mtcnnpyp_160_32	meglass_120	10908506@N03_identity_10@4664945411_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10908506@N03_identity_10@9396579709_0	MeGlass_mtcnnpyp_160_32	meglass_120	10908506@N03_identity_10@2551626199_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10992524@N00_identity_2@295929305_1	MeGlass_mtcnnpyp_160_32	meglass_120	10992524@N00_identity_2@2481239643_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10992524@N00_identity_2@304922742_0	MeGlass_mtcnnpyp_160_32	meglass_120	10992524@N00_identity_2@2134973763_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10992524@N00_identity_5@2482054572_0	MeGlass_mtcnnpyp_160_32	meglass_120	10992524@N00_identity_5@175175145_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	10992524@N00_identity_5@2507453582_0	MeGlass_mtcnnpyp_160_32	meglass_120	10992524@N00_identity_5@175174494_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11009845@N00_identity_7@10495260264_0	MeGlass_mtcnnpyp_160_32	meglass_120	11009845@N00_identity_7@4019571170_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11009845@N00_identity_7@4000849883_0	MeGlass_mtcnnpyp_160_32	meglass_120	11009845@N00_identity_7@4018821437_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	110433537@N03_identity_56@14043183422_0	MeGlass_mtcnnpyp_160_32	meglass_120	110433537@N03_identity_56@14046302275_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	110433537@N03_identity_56@14046849744_2	MeGlass_mtcnnpyp_160_32	meglass_120	110433537@N03_identity_56@14042984112_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11090990@N06_identity_5@3945532486_0	MeGlass_mtcnnpyp_160_32	meglass_120	11090990@N06_identity_5@2257544195_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11090990@N06_identity_5@4055066984_1	MeGlass_mtcnnpyp_160_32	meglass_120	11090990@N06_identity_5@1073219611_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11165854@N06_identity_2@1435639533_0	MeGlass_mtcnnpyp_160_32	meglass_120	11165854@N06_identity_2@2484562923_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	11165854@N06_identity_2@2276536058_2	MeGlass_mtcnnpyp_160_32	meglass_120	11165854@N06_identity_2@1767546750_2	1
MeGlass_mtcnnpyp_160_32	meglass_120	112081741@N02_identity_1@11475291635_0	MeGlass_mtcnnpyp_160_32	meglass_120	112081741@N02_identity_1@11493190596_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	112081741@N02_identity_1@11475387826_0	MeGlass_mtcnnpyp_160_32	meglass_120	112081741@N02_identity_1@11493165784_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11216310@N00_identity_0@512333806_1	MeGlass_mtcnnpyp_160_32	meglass_120	11216310@N00_identity_0@1501189215_11	1
MeGlass_mtcnnpyp_160_32	meglass_120	11216310@N00_identity_0@512340246_0	MeGlass_mtcnnpyp_160_32	meglass_120	11216310@N00_identity_0@1432746151_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11277986@N06_identity_1@9282180951_0	MeGlass_mtcnnpyp_160_32	meglass_120	11277986@N06_identity_1@11007192025_6	1
MeGlass_mtcnnpyp_160_32	meglass_120	11277986@N06_identity_1@9284915250_0	MeGlass_mtcnnpyp_160_32	meglass_120	11277986@N06_identity_1@11006973085_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	11277986@N06_identity_2@9284900522_1	MeGlass_mtcnnpyp_160_32	meglass_120	11277986@N06_identity_2@9282313566_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11277986@N06_identity_2@9284908000_0	MeGlass_mtcnnpyp_160_32	meglass_120	11277986@N06_identity_2@9279930321_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11284224@N00_identity_12@4800290985_0	MeGlass_mtcnnpyp_160_32	meglass_120	11284224@N00_identity_12@4009792217_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11284224@N00_identity_12@4975518007_0	MeGlass_mtcnnpyp_160_32	meglass_120	11284224@N00_identity_12@3707321610_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11309379@N00_identity_40@4469671523_0	MeGlass_mtcnnpyp_160_32	meglass_120	11309379@N00_identity_40@3562713283_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	11309379@N00_identity_40@6504568375_0	MeGlass_mtcnnpyp_160_32	meglass_120	11309379@N00_identity_40@3522007322_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	11333870@N00_identity_1@10504036123_0	MeGlass_mtcnnpyp_160_32	meglass_120	11333870@N00_identity_1@2394498098_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11333870@N00_identity_1@10504090303_0	MeGlass_mtcnnpyp_160_32	meglass_120	11333870@N00_identity_1@1384066652_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11338642@N00_identity_0@4801867365_0	MeGlass_mtcnnpyp_160_32	meglass_120	11338642@N00_identity_0@4802511868_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11338642@N00_identity_0@4802501580_0	MeGlass_mtcnnpyp_160_32	meglass_120	11338642@N00_identity_0@4801876593_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11356831@N00_identity_0@161100845_1	MeGlass_mtcnnpyp_160_32	meglass_120	11356831@N00_identity_0@161048259_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11356831@N00_identity_0@161476285_1	MeGlass_mtcnnpyp_160_32	meglass_120	11356831@N00_identity_0@161047582_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	11356831@N00_identity_4@161067665_0	MeGlass_mtcnnpyp_160_32	meglass_120	11356831@N00_identity_4@2409061449_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11356831@N00_identity_4@3104909_0	MeGlass_mtcnnpyp_160_32	meglass_120	11356831@N00_identity_4@111419308_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11356831@N00_identity_6@4526095_0	MeGlass_mtcnnpyp_160_32	meglass_120	11356831@N00_identity_6@161105278_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11356831@N00_identity_6@4526232_2	MeGlass_mtcnnpyp_160_32	meglass_120	11356831@N00_identity_6@161098481_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11438926@N00_identity_2@10064614073_0	MeGlass_mtcnnpyp_160_32	meglass_120	11438926@N00_identity_2@4605400985_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11438926@N00_identity_2@11560170303_0	MeGlass_mtcnnpyp_160_32	meglass_120	11438926@N00_identity_2@4257574619_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11474647@N00_identity_1@1424991034_0	MeGlass_mtcnnpyp_160_32	meglass_120	11474647@N00_identity_1@1813568413_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11474647@N00_identity_1@2086042263_2	MeGlass_mtcnnpyp_160_32	meglass_120	11474647@N00_identity_1@1424988922_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11510744@N08_identity_26@3964131363_0	MeGlass_mtcnnpyp_160_32	meglass_120	11510744@N08_identity_26@5138493474_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11510744@N08_identity_26@4900165988_1	MeGlass_mtcnnpyp_160_32	meglass_120	11510744@N08_identity_26@4557118666_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	11527908@N00_identity_0@1250230002_0	MeGlass_mtcnnpyp_160_32	meglass_120	11527908@N00_identity_0@29397268_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11527908@N00_identity_0@2444136817_0	MeGlass_mtcnnpyp_160_32	meglass_120	11527908@N00_identity_0@29392321_1	1
